"","logistic_regression__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_no_method","xgboost__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_no_method","xgboost__Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_no_method","random_forest__Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_no_method","random_forest__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_no_method","random_forest__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_oversampling","random_forest__Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_oversampling","xgboost__Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_oversampling","xgboost__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_oversampling","logistic_regression__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_oversampling","logistic_regression__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_undersampling","xgboost__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_undersampling","xgboost__Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_undersampling","random_forest__Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_undersampling","random_forest__Not_Tuned__Threshold_0.5__MissingData_simple_value_imputation__ScarceOutcome_random_undersampling","logistic_regression__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_no_method","xgboost__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_no_method","xgboost__Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_no_method","random_forest__Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_no_method","random_forest__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_no_method","logistic_regression__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_oversampling","xgboost__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_oversampling","xgboost__Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_oversampling","random_forest__Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_oversampling","random_forest__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_oversampling","random_forest__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_undersampling","random_forest__Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_undersampling","xgboost__Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_undersampling","xgboost__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_undersampling","logistic_regression__Not_Tuned__Threshold_0.5__MissingData_Miss_Forest_Imputation__ScarceOutcome_random_undersampling"
"FPR_benchmark_test",0.0677966101694915,0.0840677966101695,0.0549152542372881,0.0759322033898305,0.0766101694915254,0.199322033898305,0.124745762711864,0.151186440677966,0.188474576271186,0.231186440677966,0.228474576271186,0.206779661016949,0.207457627118644,0.212881355932203,0.210169491525424,0.0677966101694915,0.0813559322033898,0.055593220338983,0.071864406779661,0.0738983050847458,0.223728813559322,0.192542372881356,0.145084745762712,0.130169491525424,0.193220338983051,0.206779661016949,0.211525423728814,0.181016949152542,0.203389830508475,0.224406779661017
"FNR_benchmark_test",0.445714285714286,0.415238095238095,0.51047619047619,0.443809523809524,0.422857142857143,0.203809523809524,0.382857142857143,0.306666666666667,0.211428571428571,0.161904761904762,0.16952380952381,0.207619047619048,0.19047619047619,0.2,0.201904761904762,0.434285714285714,0.411428571428571,0.508571428571429,0.457142857142857,0.434285714285714,0.167619047619048,0.211428571428571,0.327619047619048,0.396190476190476,0.2,0.201904761904762,0.177142857142857,0.217142857142857,0.217142857142857,0.175238095238095
"FPR_train",0.0845531255381436,0.0840365076631651,0.0602720854141553,0.083864301704839,0.070776648872051,0.190287583950405,0,0.0850697434131221,0.202858618908214,0.254348200447735,0.252165982672139,0.183766529867761,0.230278157774738,0.174190606475148,0.174190606475148,0.0823144480799036,0.0830032719132082,0.0611331152057861,0.0807645944549681,0.0692267952471155,0.250904081281212,0.197864646116756,0.0799035646633374,0,0.190115377992079,0.176014591883265,0.227998176014592,0.202462380300958,0.180574555403557,0.248518011855905
"FNR_train",0.422708618331053,0.347013223894209,0.497492020063839,0.400820793433653,0.322389420884633,0.0464956087480627,0,0.0266919235405545,0.132081970036163,0.156363010160152,0.156862745098039,0.136798905608755,0.168718650250798,0.0962152302781578,0.0939352485180119,0.425444596443228,0.336981304149567,0.495212038303694,0.415868673050616,0.325581395348837,0.157568451868435,0.129671086619597,0.0230755984157052,0,0.0463234027897365,0.0971272229822161,0.14500683994528,0.193342453260374,0.135886912904697,0.160966712266302
"FPR_lenient",0.0264406779661017,0.0277966101694915,0.0366101694915254,0.0311864406779661,0.023728813559322,0.00135593220338983,0.000677966101694915,0.00677966101694915,0.00949152542372881,0.00949152542372881,0.00949152542372881,0.0176271186440678,0.0203389830508475,0.00949152542372881,0.0101694915254237,0.0257627118644068,0.0250847457627119,0.0366101694915254,0.0257627118644068,0.023728813559322,0.0108474576271186,0.0101694915254237,0.00542372881355932,0.000677966101694915,0.00135593220338983,0.0088135593220339,0.0210169491525424,0.0203389830508475,0.0142372881355932,0.00949152542372881
"FNR_lenient",0.712380952380952,0.72952380952381,0.647619047619048,0.714285714285714,0.765714285714286,0.965714285714286,0.979047619047619,0.87047619047619,0.843809523809524,0.841904761904762,0.826666666666667,0.836190476190476,0.822857142857143,0.900952380952381,0.878095238095238,0.71047619047619,0.706666666666667,0.628571428571429,0.716190476190476,0.754285714285714,0.834285714285714,0.866666666666667,0.864761904761905,0.973333333333333,0.963809523809524,0.885714285714286,0.834285714285714,0.828571428571429,0.841904761904762,0.832380952380952
"FPR_stringent",0.856949152542373,0.865762711864407,1,1,0.950508474576271,0.888135593220339,0.888813559322034,0.809491525423729,0.808135593220339,0.810847457627119,0.806779661016949,0.83593220338983,1,0.932881355932203,0.937627118644068,0.856949152542373,0.880677966101695,1,1,0.945762711864407,0.814915254237288,0.804745762711864,0.808813559322034,0.898983050847458,0.879322033898305,0.937627118644068,0.819661016949152,1,0.835254237288136,0.812881355932203
"FNR_stringent",0.0285714285714286,0.0285714285714286,0,0,0.00761904761904762,0.0285714285714286,0.020952380952381,0.0285714285714286,0.0361904761904762,0.0323809523809524,0.0323809523809524,0.0323809523809524,0,0.0152380952380952,0.0171428571428571,0.0247619047619048,0.0304761904761905,0,0,0.0171428571428571,0.0323809523809524,0.0380952380952381,0.0228571428571429,0.019047619047619,0.0247619047619048,0.0247619047619048,0.0285714285714286,0,0.0266666666666667,0.0323809523809524
"Male_proportion_favorable",0.922859830667921,0.901222953904045,0.942615239887112,0.915333960489182,0.920037629350894,0.77516462841016,0.86453433678269,0.834430856067733,0.784571966133584,0.753527751646284,0.752587017873942,0.773283160865475,0.779868297271872,0.764816556914393,0.769520225776105,0.925682031984948,0.9068673565381,0.942615239887112,0.918156161806209,0.920037629350894,0.760112888052681,0.788334901222954,0.846660395108184,0.870178739416745,0.779868297271872,0.772342427093133,0.766698024459078,0.808090310442145,0.781749764816557,0.757290686735654
"Male_FPR",0.024,0.0342857142857143,0.016,0.032,0.0251428571428571,0.131428571428571,0.0708571428571429,0.0891428571428571,0.123428571428571,0.149714285714286,0.152,0.136,0.126857142857143,0.142857142857143,0.137142857142857,0.0205714285714286,0.0331428571428571,0.016,0.0285714285714286,0.0262857142857143,0.145142857142857,0.121142857142857,0.0788571428571429,0.0742857142857143,0.126857142857143,0.138285714285714,0.137142857142857,0.102857142857143,0.133714285714286,0.147428571428571
"Male_FNR",0.675531914893617,0.601063829787234,0.75,0.670212765957447,0.664893617021277,0.340425531914894,0.563829787234043,0.478723404255319,0.356382978723404,0.303191489361702,0.308510638297872,0.351063829787234,0.345744680851064,0.335106382978723,0.335106382978723,0.675531914893617,0.627659574468085,0.75,0.670212765957447,0.670212765957447,0.319148936170213,0.367021276595745,0.5,0.611702127659574,0.345744680851064,0.356382978723404,0.319148936170213,0.393617021276596,0.388297872340426,0.313829787234043
"Female_proportion_favorable",0.670224119530416,0.652081109925293,0.704375667022412,0.664887940234792,0.646744930629669,0.495197438633938,0.611526147278549,0.56136606189968,0.505869797225187,0.446104589114194,0.455709711846318,0.487726787620064,0.469583778014941,0.483457844183565,0.483457844183565,0.660618996798292,0.647812166488794,0.702241195304162,0.67556029882604,0.657417289220918,0.453575240128068,0.495197438633938,0.568836712913554,0.604055496264674,0.497331910352188,0.485592315901814,0.470651013874066,0.494130202774813,0.488794023479189,0.459978655282818
"Female_FPR",0.131666666666667,0.156666666666667,0.111666666666667,0.14,0.151666666666667,0.298333333333333,0.203333333333333,0.241666666666667,0.283333333333333,0.35,0.34,0.31,0.325,0.315,0.316666666666667,0.136666666666667,0.151666666666667,0.113333333333333,0.135,0.143333333333333,0.338333333333333,0.296666666666667,0.241666666666667,0.211666666666667,0.29,0.306666666666667,0.32,0.295,0.305,0.336666666666667
"Female_FNR",0.317507418397626,0.311572700296736,0.376854599406528,0.317507418397626,0.287833827893175,0.127596439169139,0.281899109792285,0.210682492581602,0.130563798219585,0.0830860534124629,0.0919881305637982,0.127596439169139,0.103857566765579,0.124629080118694,0.127596439169139,0.299703264094956,0.29080118694362,0.373887240356083,0.338278931750742,0.302670623145401,0.0830860534124629,0.124629080118694,0.231454005934718,0.275964391691395,0.118694362017804,0.115727002967359,0.0979228486646884,0.118694362017804,0.121661721068249,0.0979228486646884
"Disabled_proportion_favourable",0.52258064516129,0.529032258064516,0.580645161290323,0.554838709677419,0.529032258064516,0.393548387096774,0.490322580645161,0.445161290322581,0.419354838709677,0.335483870967742,0.341935483870968,0.380645161290323,0.387096774193548,0.374193548387097,0.374193548387097,0.516129032258065,0.535483870967742,0.580645161290323,0.561290322580645,0.548387096774194,0.348387096774194,0.4,0.438709677419355,0.496774193548387,0.387096774193548,0.367741935483871,0.361290322580645,0.406451612903226,0.374193548387097,0.348387096774194
"Disabled_FPR",0.223529411764706,0.235294117647059,0.176470588235294,0.2,0.211764705882353,0.352941176470588,0.270588235294118,0.329411764705882,0.317647058823529,0.447058823529412,0.435294117647059,0.376470588235294,0.376470588235294,0.388235294117647,0.388235294117647,0.235294117647059,0.211764705882353,0.176470588235294,0.2,0.188235294117647,0.423529411764706,0.352941176470588,0.341176470588235,0.329411764705882,0.364705882352941,0.4,0.4,0.352941176470588,0.4,0.423529411764706
"Disabled_FNR",0.214285714285714,0.242857142857143,0.285714285714286,0.257142857142857,0.214285714285714,0.0857142857142857,0.2,0.171428571428571,0.1,0.0714285714285714,0.0714285714285714,0.0857142857142857,0.1,0.0857142857142857,0.0857142857142857,0.214285714285714,0.228571428571429,0.285714285714286,0.271428571428571,0.228571428571429,0.0714285714285714,0.1,0.171428571428571,0.285714285714286,0.0857142857142857,0.0857142857142857,0.0714285714285714,0.114285714285714,0.1,0.0714285714285714
"Abled_proportion_favorable",0.828184281842818,0.805962059620596,0.852032520325203,0.818428184281843,0.814092140921409,0.665040650406504,0.767479674796748,0.728455284552846,0.673712737127371,0.632520325203252,0.636314363143631,0.661246612466125,0.655284552845528,0.654742547425474,0.657452574525745,0.825474254742547,0.80650406504065,0.850948509485095,0.824932249322493,0.817886178861789,0.639024390243902,0.672086720867209,0.739837398373984,0.76639566395664,0.669376693766938,0.66070460704607,0.650406504065041,0.682384823848239,0.667208672086721,0.640650406504065
"Abled_FPR",0.058273381294964,0.0748201438848921,0.0474820143884892,0.0683453237410072,0.0683453237410072,0.189928057553957,0.115827338129496,0.140287769784173,0.180575539568345,0.217985611510791,0.215827338129496,0.196402877697842,0.197122302158273,0.202158273381295,0.199280575539568,0.0575539568345324,0.0733812949640288,0.0482014388489209,0.0640287769784173,0.0669064748201439,0.211510791366906,0.18273381294964,0.133093525179856,0.117985611510791,0.18273381294964,0.194964028776978,0.2,0.170503597122302,0.19136690647482,0.212230215827338
"Abled_FNR",0.481318681318681,0.441758241758242,0.545054945054945,0.472527472527473,0.454945054945055,0.221978021978022,0.410989010989011,0.327472527472527,0.228571428571429,0.175824175824176,0.184615384615385,0.226373626373626,0.204395604395604,0.217582417582418,0.21978021978022,0.468131868131868,0.43956043956044,0.542857142857143,0.485714285714286,0.465934065934066,0.182417582417582,0.228571428571429,0.351648351648352,0.413186813186813,0.217582417582418,0.21978021978022,0.193406593406593,0.232967032967033,0.235164835164835,0.191208791208791
"Minority_proportion_favorable",0.678622668579627,0.652797704447633,0.711621233859397,0.664275466284075,0.66857962697274,0.469153515064562,0.60545193687231,0.553802008608321,0.489239598278336,0.437589670014347,0.444763271162123,0.469153515064562,0.472022955523673,0.459110473457676,0.460545193687231,0.674318507890961,0.647058823529412,0.710186513629842,0.672883787661406,0.667144906743185,0.450502152080344,0.470588235294118,0.558106169296987,0.598278335724534,0.476327116212339,0.460545193687231,0.457675753228121,0.48780487804878,0.469153515064562,0.450502152080344
"Minority_FPR",0.12780269058296,0.147982062780269,0.114349775784753,0.143497757847534,0.141255605381166,0.338565022421525,0.217488789237668,0.246636771300448,0.311659192825112,0.369955156950673,0.36322869955157,0.345291479820628,0.329596412556054,0.354260089686099,0.352017937219731,0.12780269058296,0.159192825112108,0.116591928251121,0.141255605381166,0.139013452914798,0.352017937219731,0.336322869955157,0.262331838565022,0.233183856502242,0.329596412556054,0.356502242152466,0.349775784753363,0.311659192825112,0.349775784753363,0.354260089686099
"Minority_FNR",0.334661354581673,0.298804780876494,0.402390438247012,0.322709163346614,0.330677290836653,0.127490039840637,0.290836653386454,0.199203187250996,0.135458167330677,0.0956175298804781,0.103585657370518,0.139442231075697,0.119521912350598,0.127490039840637,0.127490039840637,0.322709163346614,0.302788844621514,0.402390438247012,0.342629482071713,0.322709163346614,0.099601593625498,0.127490039840637,0.239043824701195,0.298804780876494,0.131474103585657,0.135458167330677,0.115537848605578,0.131474103585657,0.147410358565737,0.103585657370518
"Majority_proportion_favorable",0.871834228702993,0.854950115118956,0.894858019953952,0.869531849577897,0.858019953952417,0.737528779739064,0.821181887950883,0.788181120491174,0.742133537989256,0.701458173445894,0.70376055257099,0.730621642363776,0.721412125863392,0.726016884113584,0.729086722947045,0.869531849577897,0.859554873369148,0.894090560245587,0.874904067536454,0.866462010744436,0.705295471987721,0.747505755947813,0.801227935533384,0.824251726784344,0.739063699155794,0.732924021488872,0.719109746738296,0.753645433614735,0.738296239447429,0.707597851112817
"Majority_FPR",0.0417881438289602,0.0563654033041788,0.0291545189504373,0.0466472303206997,0.0485908649173955,0.138969873663751,0.0845481049562682,0.109815354713314,0.13508260447036,0.171039844509232,0.170068027210884,0.146744412050535,0.154518950437318,0.151603498542274,0.14868804664723,0.0417881438289602,0.0476190476190476,0.0291545189504373,0.0417881438289602,0.0456754130223518,0.168124392614189,0.13022351797862,0.0942662779397473,0.0855199222546161,0.134110787172012,0.141885325558795,0.151603498542274,0.124392614188533,0.139941690962099,0.168124392614189
"Majority_FNR",0.547445255474453,0.521897810218978,0.60948905109489,0.554744525547445,0.507299270072993,0.273722627737226,0.467153284671533,0.405109489051095,0.281021897810219,0.222627737226277,0.22992700729927,0.27007299270073,0.255474452554745,0.266423357664234,0.27007299270073,0.536496350364963,0.510948905109489,0.605839416058394,0.562043795620438,0.536496350364963,0.22992700729927,0.288321167883212,0.408759124087591,0.485401459854015,0.262773722627737,0.262773722627737,0.233576642335766,0.295620437956204,0.281021897810219,0.240875912408759
"Male_Minority_Yes_proportion_favorable",0.552631578947368,0.578947368421053,0.631578947368421,0.578947368421053,0.578947368421053,0.447368421052632,0.526315789473684,0.5,0.473684210526316,0.342105263157895,0.342105263157895,0.447368421052632,0.394736842105263,0.421052631578947,0.421052631578947,0.552631578947368,0.578947368421053,0.631578947368421,0.578947368421053,0.552631578947368,0.342105263157895,0.421052631578947,0.447368421052632,0.5,0.421052631578947,0.394736842105263,0.394736842105263,0.447368421052632,0.421052631578947,0.342105263157895
"Male_Minority_Yes_proportion_favorable_ratio",0.686925517647444,0.737982623863675,0.76002280068402,0.725497955414853,0.730994152046784,0.69467146126185,0.705517144066601,0.707714083510262,0.724287783679382,0.56128837269548,0.557628790803414,0.699559688901691,0.622122682593007,0.665170034089964,0.662553314837053,0.689496667432774,0.737043117022346,0.760938490805327,0.719636256583036,0.693389685002972,0.554915268707047,0.646778235912361,0.624380210820142,0.670690811535882,0.650274334484861,0.618709783864049,0.628561850486088,0.676805478143164,0.653301212690376,0.553568386986885
"Male_Minority_Yes_FPR",0.173913043478261,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.260869565217391,0.173913043478261,0.173913043478261,0.217391304347826,0.434782608695652,0.434782608695652,0.304347826086957,0.347826086956522,0.304347826086957,0.304347826086957,0.173913043478261,0.130434782608696,0.130434782608696,0.130434782608696,0.130434782608696,0.434782608695652,0.304347826086957,0.260869565217391,0.260869565217391,0.304347826086957,0.347826086956522,0.347826086956522,0.304347826086957,0.347826086956522,0.434782608695652
"Male_Minority_Yes_FPR_ratio",2.56521739130435,1.5515427769986,2.37520128824477,1.71777950310559,1.70257791458253,1.30878438331854,1.39413988657845,1.15032170013648,1.15342508601814,1.88065791151345,1.90298026061153,1.47184604419102,1.67661267405513,1.42965937413459,1.44810659186536,2.56521739130435,1.60326086956522,2.34623541887593,1.81501230516817,1.76505783805345,1.9433465085639,1.58067973055726,1.79804957334417,2.00407608695652,1.57513348588863,1.68210976478974,1.64437012263099,1.68132226021821,1.71014492753623,1.93747537107579
